jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-244446,成功,2025-11-05 22:16:00,2026-09-21 20:11:12,366.77s,成功,
VCU-408110,成功,2025-12-25 16:11:00,2026-09-21 20:11:12,1006.63s,成功,
VCU-409475,成功,2025-10-16 13:39:00,2026-09-21 20:11:12,1041.19s,成功,
VCU-409713,成功,2025-08-29 16:42:00,2026-09-21 20:11:12,1003.14s,成功,
VCU-414810,成功,2026-01-27 15:49:00,2026-09-21 20:11:12,727.16s,成功,
VCU-415246,成功,2026-01-26 13:44:00,2026-09-21 20:11:12,402.22s,成功,
VCU-416069,成功,2026-01-27 14:45:00,2026-09-21 20:11:12,1324.73s,成功,
VCU-417197,成功,2026-01-19 15:19:00,2026-09-21 20:11:12,1016.3s,成功,
VCU-419070,成功,2025-12-29 08:54:00,2026-09-21 20:11:12,692.69s,成功,
VCU-419861,成功,2026-01-20 21:37:00,2026-09-21 20:11:12,296.85s,成功,
VCU-422784,成功,2026-02-09 13:56:00,2026-09-21 20:11:12,28.04s,失败,
VCU-425395,成功,2026-03-11 14:27:34,2026-09-21 20:11:12,469.86s,失败,
VCU-425469,成功,2026-03-11 09:53:06,2026-09-21 20:11:12,1192.3s,成功,
VCU-433720,成功,2026-01-26 12:52:00,2026-09-21 20:11:12,1011.71s,成功,
VCU-438064,成功,2025-06-17 15:27:00,2026-09-21 20:11:12,1102.14s,成功,
VCU-439581,成功,2025-11-03 17:43:00,2026-09-21 20:11:12,1049.33s,成功,
VCU-443179,成功,2025-06-25 18:50:00,2026-09-21 20:11:12,21.79s,失败,
VCU-445986,成功,2025-01-12 14:23:00,2026-09-21 20:11:12,639.54s,成功,
VCU-446336,成功,2025-07-03 14:42:00,2026-09-21 20:11:12,5.83s,失败,
VCU-458496,成功,2026-03-25 13:09:00,2026-09-21 20:11:12,1008.38s,成功,
VCU-458666,成功,2026-03-27 13:48:00,2026-09-21 20:11:12,738.75s,成功,
VCU-465561,成功,2026-04-01 17:04:00,2026-09-21 20:11:12,657.96s,失败,
VCU-466565,成功,2025-11-03 13:58:00,2026-09-21 20:11:12,16.42s,失败,
VCU-466730,成功,2025-11-20 13:51:00,2026-09-21 20:11:12,80.81s,失败,
VCU-470047,成功,2026-04-10 15:05:56,2026-09-21 20:11:12,900.15s,成功,
VCU-478383,成功,2026-04-21 09:55:00,2026-09-21 20:11:12,1075.24s,成功,
VCU-480322,成功,2025-04-22 19:02:00,2026-09-21 20:11:12,1074.59s,成功,
VCU-482123,成功,2026-04-28 10:47:00,2026-09-21 20:11:12,1096.26s,成功,
VCU-483645,成功,2026-05-06 14:17:00,2026-09-21 20:11:12,1037.38s,成功,
VCU-483648,成功,2026-05-06 14:31:00,2026-09-21 20:11:12,15.13s,失败,
VCU-483795,成功,2026-05-06 13:55:00,2026-09-21 20:11:12,1194.1s,成功,
VCU-487176,成功,2026-05-13 20:30:00,2026-09-21 20:11:12,483.98s,成功,
VCU-487185,成功,2026-05-13 10:36:00,2026-09-21 20:11:12,861.68s,成功,
VCU-488389,成功,2026-05-15 10:18:00,2026-09-21 20:11:12,698.86s,成功,
VCU-488398,成功,2026-05-14 09:59:47,2026-09-21 20:11:12,800.64s,成功,
VCU-488413,成功,2026-05-15 13:35:00,2026-09-21 20:11:12,1138.05s,成功,
VCU-488545,成功,2026-05-15 17:40:00,2026-09-21 20:11:12,685.35s,成功,
VCU-489683,成功,2026-05-19 15:59:00,2026-09-21 20:11:12,1183.05s,成功,
VCU-489684,成功,2026-05-19 16:01:00,2026-09-21 20:11:12,670.61s,成功,
VCU-489735,成功,2026-05-19 11:43:00,2026-09-21 20:11:12,912.81s,成功,
VCU-492200,成功,2026-05-25 13:56:00,2026-09-21 20:11:12,1198.5s,成功,
VCU-492229,成功,2026-05-22 15:27:00,2026-09-21 20:11:12,1007.24s,成功,
VCU-495062,成功,2026-06-01 12:59:00,2026-09-21 20:11:12,816.39s,成功,
VCU-497804,成功,2026-06-05 12:02:00,2026-09-21 20:11:12,761.15s,成功,
VCU-497829,成功,2026-06-09 09:53:48,2026-09-21 20:11:12,1155.16s,成功,
VCU-499205,成功,2026-06-09 14:04:00,2026-09-21 20:11:12,1099.13s,成功,
VCU-499212,成功,2026-06-10 16:01:00,2026-09-21 20:11:12,879.92s,成功,
VCU-500701,成功,2026-06-11 15:17:19,2026-09-21 20:11:12,1186.71s,成功,
VCU-501344,成功,2026-06-12 14:14:00,2026-09-21 20:11:12,8.89s,失败,
VCU-505522,成功,2026-06-22 12:56:00,2026-09-21 20:11:12,859.78s,成功,
VCU-507538,成功,2026-06-25 17:07:00,2026-09-21 20:11:12,250.14s,成功,
VCU-511379,成功,2026-06-26 17:20:00,2026-09-21 20:11:12,1002.73s,成功,
VCU-515214,成功,2026-07-03 15:50:00,2026-09-21 20:11:12,916.3s,成功,
VCU-515850,成功,2026-07-06 11:24:00,2026-09-21 20:11:12,890.37s,成功,
VCU-515931,成功,2026-07-06 15:52:02,2026-09-21 20:11:12,897.82s,成功,
VCU-516519,成功,2026-07-07 13:20:00,2026-09-21 20:11:12,881.33s,失败,
VCU-519558,成功,2026-07-14 15:07:00,2026-09-21 20:11:12,1067.98s,成功,
VCU-520600,成功,2026-07-15 15:04:12,2026-09-21 20:11:12,43.08s,失败,
VCU-522187,成功,2026-07-21 13:42:00,2026-09-21 20:11:12,31.76s,失败,
VCU-525543,成功,2026-07-27 15:53:12,2026-09-21 18:57:20,,成功,
VCU-526010,成功,2026-07-29 15:48:00,2026-09-21 18:57:20,,成功,
VCU-526352,成功,2026-07-30 10:42:45,2026-09-21 20:11:12,1138.47s,成功,
VCU-527539,成功,2026-08-03 13:35:00,2026-09-21 20:11:12,923.86s,失败,
VCU-527968,成功,2026-08-04 13:22:51,2026-09-21 20:11:12,1007.46s,成功,
VCU-528966,成功,2026-08-06 12:00:00,2026-09-21 20:11:12,38.82s,失败,
VCU-530566,成功,2026-08-11 15:10:00,2026-09-21 18:57:20,,成功,
VCU-531108,成功,2026-08-12 13:19:00,2026-09-21 20:11:12,828.91s,成功,
VCU-531536,成功,2026-08-13 12:15:54,2026-09-21 18:57:20,,成功,
VCU-531601,成功,2026-08-13 18:19:00,2026-09-21 19:47:56,281.98s,成功,
VCU-531724,成功,2026-08-13 13:22:00,2026-09-21 19:47:56,862.78s,成功,
VCU-536569,成功,2026-08-25 10:21:10,2026-09-21 09:45:55,2526.74s,失败,
VCU-536684,成功,2026-08-25 14:18:19,2026-09-21 18:57:20,,成功,
VCU-536767,成功,2026-08-25 15:31:00,2026-09-21 18:57:20,318.34s,成功,
VCU-536860,成功,2026-08-25 13:09:00,2026-09-21 18:57:20,,成功,
VCU-536892,成功,2026-08-25 16:41:00,2026-09-21 18:57:20,,成功,
VCU-537135,成功,2026-08-26 10:49:00,2026-09-21 18:57:20,,成功,
VCU-537263,成功,2026-08-24 19:58:00,2026-09-21 18:57:20,,成功,
VCU-537299,成功,2026-08-24 20:22:00,2026-09-21 18:57:20,,成功,
VCU-537386,成功,2026-08-26 16:06:00,2026-09-21 18:57:20,134.3s,失败,
VCU-538000,成功,2026-08-27 10:34:00,2026-09-21 18:57:20,,成功,
VCU-538012,成功,2026-08-27 15:48:00,2026-09-21 18:57:20,,成功,
VCU-538021,成功,2026-08-27 15:49:00,2026-09-21 18:57:20,,成功,
VCU-538598,成功,2026-08-28 10:46:00,2026-09-21 18:57:20,,成功,
VCU-538628,成功,2026-09-04 10:40:00,2026-09-21 09:45:55,,分析中,
VCU-538689,成功,2026-08-28 14:37:46,2026-09-21 09:45:55,26.08s,失败,
VCU-539069,成功,2026-08-28 15:03:00,2026-09-21 09:45:55,,分析中,
VCU-539276,成功,2026-08-31 15:48:17,2026-09-21 18:57:20,,成功,
VCU-539405,成功,2026-08-31 15:30:48,2026-09-21 18:57:20,,成功,
VCU-539722,成功,2026-08-31 18:36:00,2026-09-21 18:57:20,161.51s,成功,
VCU-539911,成功,2026-09-01 15:28:00,2026-09-21 12:16:14,342.41s,成功,
VCU-540051,成功,2026-09-01 14:57:00,2026-09-21 18:57:20,435.53s,成功,
VCU-540153,成功,2026-09-01 15:52:00,2026-09-21 20:11:12,920.7s,成功,
VCU-540743,成功,2026-09-02 10:45:00,2026-09-21 20:11:12,1124.74s,成功,
VCU-541325,成功,2026-09-03 15:50:00,2026-09-21 19:47:56,418.9s,成功,
VCU-541458,成功,2026-09-03 15:21:00,2026-09-21 19:47:56,58.03s,失败,
VCU-542097,成功,2026-09-04 15:27:00,2026-09-21 19:47:56,436.01s,成功,
VCU-542150,成功,2026-09-04 15:26:49,2026-09-21 19:47:56,465.32s,成功,
VCU-543127,成功,2026-09-07 16:04:06,2026-09-21 19:47:56,451.89s,成功,
VCU-543179,成功,2026-09-07 16:00:29,2026-09-21 19:47:56,534.49s,成功,
VCU-543523,成功,2026-09-08 13:35:18,2026-09-21 19:47:56,407.32s,成功,
VCU-543577,成功,2026-09-08 13:28:00,2026-09-21 19:47:56,305.11s,成功,
VCU-543688,成功,2026-09-08 10:17:00,2026-09-21 19:47:56,371.8s,成功,
VCU-543861,成功,2026-09-11 13:52:00,2026-09-21 19:47:56,442.21s,成功,
VCU-544130,成功,2026-09-09 10:17:00,2026-09-21 19:47:56,447.19s,成功,
VCU-544291,成功,2026-09-09 12:18:00,2026-09-21 19:47:56,458.13s,成功,
VCU-544469,成功,2026-09-14 17:32:00,2026-09-21 19:47:56,375.9s,成功,
VCU-544506,成功,2026-09-09 14:14:00,2026-09-21 20:11:12,,分析中,
VCU-544536,成功,2026-09-09 15:53:00,2026-09-21 19:47:56,445.98s,成功,
VCU-544557,成功,2026-09-09 10:31:00,2026-09-21 19:47:56,196.99s,成功,
VCU-544770,成功,2026-09-10 09:58:00,2026-09-21 12:37:33,,成功,
VCU-547103,成功,2026-09-15 16:48:00,2026-09-21 20:11:12,68.71s,失败,
VCU-547668,成功,2026-09-16 13:21:00,2026-09-21 12:37:33,,成功,
VCU-547673,成功,2026-09-16 13:27:00,2026-09-21 14:54:07,128.23s,成功,
VCU-547685,成功,2026-09-16 15:51:46,2026-09-21 12:37:33,105.17s,成功,
VCU-547724,成功,2026-09-16 15:52:50,2026-09-21 14:54:07,,成功,
VCU-547836,成功,2026-09-16 15:25:00,2026-09-21 20:11:12,1197.2s,成功,
VCU-547866,成功,2026-09-16 15:49:24,2026-09-21 20:11:12,948.58s,成功,
VCU-547890,成功,2026-09-16 12:58:00,2026-09-21 14:54:07,34.73s,失败,
VCU-548229,成功,2026-09-17 09:16:00,2026-09-21 09:45:55,,分析中,
VCU-548460,成功,2026-09-18 13:25:00,2026-09-21 12:37:33,54.07s,失败,
VCU-548665,成功,2026-09-17 14:43:24,2026-09-21 14:54:07,,成功,
VCU-548691,成功,2026-09-18 10:13:14,2026-09-21 14:54:07,5.78s,成功,
VCU-548814,成功,2026-09-17 17:28:00,2026-09-21 14:54:07,,成功,
VCU-548893,成功,2026-09-18 14:23:00,2026-09-21 14:54:07,,成功,
VCU-549328,成功,2026-09-20 10:06:19,2026-09-21 12:37:33,,成功,
VCU-549667,成功,2026-09-20 09:22:00,2026-09-21 14:54:07,38.12s,失败,
VCU-549677,成功,2026-09-20 15:39:31,2026-09-21 14:54:07,,成功,
VCU-550300,成功,2026-09-21 13:23:00,2026-09-21 20:11:12,1105.47s,成功,
