jira号,执行结果,报告长度,备注,触发时间,执行时间,分析并发数,下载并发数,模型,触发来源
VCU-522187,成功,0,分析任务已启动，Issue: VCU-522187 正在后台处理中,2026-07-21 13:42:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-240936,成功,0,分析任务已启动，Issue: VCU-240936 正在后台处理中,2025-10-14 13:54:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-225526,成功,0,分析任务已启动，Issue: VCU-225526 正在后台处理中,2025-07-08 13:43:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-217059,成功,0,分析任务已启动，Issue: VCU-217059 正在后台处理中,2025-07-27 17:30:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-540153,成功,0,分析任务已启动，Issue: VCU-540153 正在后台处理中,2026-09-01 15:52:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-515214,成功,0,分析任务已启动，Issue: VCU-515214 正在后台处理中,2026-07-03 15:50:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-531724,成功,0,分析任务已启动，Issue: VCU-531724 正在后台处理中,2026-08-13 13:22:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-497804,成功,0,分析任务已启动，Issue: VCU-497804 正在后台处理中,2026-06-05 12:02:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-487185,成功,0,分析任务已启动，Issue: VCU-487185 正在后台处理中,2026-05-13 10:36:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-466730,成功,0,分析任务已启动，Issue: VCU-466730 正在后台处理中,2025-11-20 13:51:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-458496,成功,0,分析任务已启动，Issue: VCU-458496 正在后台处理中,2026-03-25 13:09:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-515850,成功,0,分析任务已启动，Issue: VCU-515850 正在后台处理中,2026-07-06 11:24:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-531601,成功,0,分析任务已启动，Issue: VCU-531601 正在后台处理中,2026-08-13 18:19:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-443179,成功,0,分析任务已启动，Issue: VCU-443179 正在后台处理中,2025-06-25 18:50:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-499212,成功,0,分析任务已启动，Issue: VCU-499212 正在后台处理中,2026-06-10 16:01:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-488398,成功,0,分析任务已启动，Issue: VCU-488398 正在后台处理中,2026-05-14 09:59:47,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-531108,成功,0,分析任务已启动，Issue: VCU-531108 正在后台处理中,2026-08-12 13:19:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-465561,成功,0,分析任务已启动，Issue: VCU-465561 正在后台处理中,2026-04-01 17:04:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-213373,成功,0,分析任务已启动，Issue: VCU-213373 正在后台处理中,2025-06-04 13:20:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-488545,成功,0,分析任务已启动，Issue: VCU-488545 正在后台处理中,2026-05-15 17:40:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-445986,成功,0,分析任务已启动，Issue: VCU-445986 正在后台处理中,2025-01-12 14:23:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-217118,成功,0,分析任务已启动，Issue: VCU-217118 正在后台处理中,2025-07-25 10:59:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-244446,成功,0,分析任务已启动，Issue: VCU-244446 正在后台处理中,2025-11-05 22:16:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-226815,成功,0,分析任务已启动，Issue: VCU-226815 正在后台处理中,2025-08-18 19:10:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-414810,成功,0,分析任务已启动，Issue: VCU-414810 正在后台处理中,2026-01-27 15:49:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-213787,成功,0,分析任务已启动，Issue: VCU-213787 正在后台处理中,2025-06-10 10:23:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-501344,成功,0,分析任务已启动，Issue: VCU-501344 正在后台处理中,2026-06-12 14:14:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-528966,成功,0,分析任务已启动，Issue: VCU-528966 正在后台处理中,2026-08-06 12:00:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-433720,成功,0,分析任务已启动，Issue: VCU-433720 正在后台处理中,2026-01-26 12:52:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-483795,成功,0,分析任务已启动，Issue: VCU-483795 正在后台处理中,2026-05-06 13:55:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-409475,成功,0,分析任务已启动，Issue: VCU-409475 正在后台处理中,2025-10-16 13:39:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-527539,成功,0,分析任务已启动，Issue: VCU-527539 正在后台处理中,2026-08-03 13:35:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-225011,成功,0,分析任务已启动，Issue: VCU-225011 正在后台处理中,2025-06-30 19:43:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-516519,成功,0,分析任务已启动，Issue: VCU-516519 正在后台处理中,2026-07-07 13:20:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-497829,成功,0,分析任务已启动，Issue: VCU-497829 正在后台处理中,2026-06-09 09:53:48,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-209287,成功,0,分析任务已启动，Issue: VCU-209287 正在后台处理中,2025-06-16 14:40:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-210501,成功,0,分析任务已启动，Issue: VCU-210501 正在后台处理中,2025-06-26 14:53:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-408110,成功,0,分析任务已启动，Issue: VCU-408110 正在后台处理中,2025-12-25 16:11:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-234676,成功,0,分析任务已启动，Issue: VCU-234676 正在后台处理中,2025-09-12 13:40:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-235686,成功,0,分析任务已启动，Issue: VCU-235686 正在后台处理中,2025-09-20 18:09:49,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-507538,成功,0,分析任务已启动，Issue: VCU-507538 正在后台处理中,2026-06-25 17:07:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-417197,成功,0,分析任务已启动，Issue: VCU-417197 正在后台处理中,2026-01-19 15:19:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-489683,成功,0,分析任务已启动，Issue: VCU-489683 正在后台处理中,2026-05-19 15:59:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-230215,成功,0,分析任务已启动，Issue: VCU-230215 正在后台处理中,2025-08-12 11:25:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-416069,成功,0,分析任务已启动，Issue: VCU-416069 正在后台处理中,2026-01-27 14:45:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-550300,成功,0,分析任务已启动，Issue: VCU-550300 正在后台处理中,2026-09-21 13:23:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-519558,成功,0,分析任务已启动，Issue: VCU-519558 正在后台处理中,2026-07-14 15:07:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-520600,成功,0,分析任务已启动，Issue: VCU-520600 正在后台处理中,2026-07-15 15:04:12,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-544506,成功,0,分析任务已启动，Issue: VCU-544506 正在后台处理中,2026-09-09 14:14:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-505522,成功,0,分析任务已启动，Issue: VCU-505522 正在后台处理中,2026-06-22 12:56:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-526352,成功,0,分析任务已启动，Issue: VCU-526352 正在后台处理中,2026-07-30 10:42:45,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-466565,成功,0,分析任务已启动，Issue: VCU-466565 正在后台处理中,2025-11-03 13:58:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-483645,成功,0,分析任务已启动，Issue: VCU-483645 正在后台处理中,2026-05-06 14:17:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-500701,成功,0,分析任务已启动，Issue: VCU-500701 正在后台处理中,2026-06-11 15:17:19,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-208319,成功,0,分析任务已启动，Issue: VCU-208319 正在后台处理中,2025-06-05 13:17:40,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-483648,成功,0,分析任务已启动，Issue: VCU-483648 正在后台处理中,2026-05-06 14:31:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-482123,成功,0,分析任务已启动，Issue: VCU-482123 正在后台处理中,2026-04-28 10:47:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-515931,成功,0,分析任务已启动，Issue: VCU-515931 正在后台处理中,2026-07-06 15:52:02,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-409713,成功,0,分析任务已启动，Issue: VCU-409713 正在后台处理中,2025-08-29 16:42:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-492200,成功,0,分析任务已启动，Issue: VCU-492200 正在后台处理中,2026-05-25 13:56:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-439581,成功,0,分析任务已启动，Issue: VCU-439581 正在后台处理中,2025-11-03 17:43:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-540743,成功,0,分析任务已启动，Issue: VCU-540743 正在后台处理中,2026-09-02 10:45:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-241287,成功,0,分析任务已启动，Issue: VCU-241287 正在后台处理中,2025-10-23 13:34:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-527968,成功,0,分析任务已启动，Issue: VCU-527968 正在后台处理中,2026-08-04 13:22:51,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-492229,成功,0,分析任务已启动，Issue: VCU-492229 正在后台处理中,2026-05-22 15:27:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-495062,成功,0,分析任务已启动，Issue: VCU-495062 正在后台处理中,2026-06-01 12:59:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-458666,成功,0,分析任务已启动，Issue: VCU-458666 正在后台处理中,2026-03-27 13:48:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-419070,成功,0,分析任务已启动，Issue: VCU-419070 正在后台处理中,2025-12-29 08:54:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-488389,成功,0,分析任务已启动，Issue: VCU-488389 正在后台处理中,2026-05-15 10:18:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-547103,成功,0,分析任务已启动，Issue: VCU-547103 正在后台处理中,2026-09-15 16:48:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-489684,成功,0,分析任务已启动，Issue: VCU-489684 正在后台处理中,2026-05-19 16:01:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
