jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-213113,成功,2025-06-11 17:15:42,2026-09-22 22:43:17,1262.02s,成功,
VCU-213373,成功,2025-06-04 13:29:00,2026-09-22 16:53:38,279.08s,成功,
VCU-213581,成功,2025-06-17 21:12:24,2026-09-22 22:43:17,91.83s,成功,
VCU-217059,成功,2025-07-25 16:28:00,2026-09-22 16:53:38,9.87s,失败,
VCU-218105,成功,2025-07-21 15:27:45,2026-09-22 22:43:17,554.45s,成功,
VCU-218734,成功,2025-07-23 22:21:55,2026-09-22 22:43:17,36.58s,成功,
VCU-219241,成功,2025-07-05 09:40:18,2026-09-22 22:43:17,1057.23s,成功,
VCU-219251,成功,2025-07-02 18:53:39,2026-09-22 22:43:17,779.62s,成功,
VCU-219455,成功,2025-07-23 15:35:00,2026-09-22 22:43:17,154.25s,失败,
VCU-220296,成功,2025-07-03 09:52:59,2026-09-22 22:43:17,763.49s,成功,
VCU-221319,成功,2025-07-15 18:38:00,2026-09-22 22:43:17,162.62s,成功,
VCU-221350,成功,2025-07-16 22:40:17,2026-09-22 22:43:17,28.66s,成功,
VCU-221439,成功,2025-07-16 19:19:02,2026-09-22 22:26:29,47.08s,成功,
VCU-222210,成功,2025-07-02 21:39:42,2026-09-22 22:26:29,261.91s,成功,
VCU-222453,成功,2025-07-01 10:59:00,2026-09-22 22:43:17,23.98s,成功,
VCU-225508,成功,2025-07-04 13:20:00,2026-09-22 22:26:29,194.42s,成功,
VCU-226235,成功,2025-08-27 10:51:46,2026-09-22 22:43:17,585.32s,成功,
VCU-227818,成功,2025-08-24 11:01:00,2026-09-22 22:43:17,46.94s,失败,
VCU-229460,成功,2025-08-11 21:15:32,2026-09-22 22:26:29,128.51s,成功,
VCU-230215,成功,2025-08-12 13:33:00,2026-09-22 16:53:38,7.46s,失败,
VCU-230840,成功,2025-08-04 22:51:00,2026-09-22 22:43:17,46.97s,失败,
VCU-231257,成功,2025-08-01 14:01:24,2026-09-22 22:43:17,1330.02s,成功,
VCU-232276,成功,2025-07-31 11:40:33,2026-09-22 22:43:17,1139.53s,成功,
VCU-233589,成功,2025-09-23 22:35:00,2026-09-22 22:43:17,110.02s,失败,
VCU-234498,成功,2025-09-10 17:49:28,2026-09-22 22:26:29,474.23s,成功,
VCU-234676,成功,2025-09-12 13:40:00,2026-09-22 16:53:38,159.6s,失败,
VCU-234693,成功,2025-09-12 08:00:00,2026-09-22 22:43:17,125.67s,失败,
VCU-234750,成功,2025-09-12 17:27:00,2026-09-22 22:43:17,33.56s,失败,
VCU-235496,成功,2025-09-24 19:08:00,2026-09-22 22:43:17,650.14s,成功,
VCU-236486,成功,2025-09-20 16:44:26,2026-09-22 22:43:17,2009.5s,成功,
VCU-236531,成功,2025-09-06 12:13:48,2026-09-22 22:26:29,530.09s,成功,
VCU-238109,成功,2025-09-05 12:35:52,2026-09-22 22:43:17,1045.7s,成功,
VCU-238844,成功,2025-10-26 17:13:00,2026-09-22 22:26:29,587.89s,成功,
VCU-239183,成功,2025-10-27 12:12:00,2026-09-22 22:43:17,284.38s,失败,
VCU-239980,成功,2025-10-10 17:45:00,2026-09-22 22:43:17,81.96s,成功,
VCU-241214,成功,2025-10-22 14:07:00,2026-09-22 22:43:17,87.01s,失败,
VCU-241287,成功,2025-10-23 10:41:00,2026-09-22 16:53:38,55.38s,失败,
VCU-241675,成功,2025-09-29 09:37:56,2026-09-22 22:43:17,5.35s,失败,
VCU-242405,成功,2025-10-18 12:01:00,2026-09-22 22:43:17,539.69s,成功,
VCU-242723,成功,2025-11-17 13:43:10,2026-09-22 17:49:57,35.25s,失败,
VCU-243084,成功,2025-11-13 14:13:00,2026-09-22 17:49:57,52.89s,失败,
VCU-243132,成功,2025-11-25 18:13:04,2026-09-22 22:43:17,782.32s,成功,
VCU-243220,成功,2025-11-24 19:08:09,2026-09-22 17:49:57,404.48s,成功,
VCU-243318,成功,2025-11-18 08:41:18,2026-09-22 22:43:17,1887.99s,失败,
VCU-243421,成功,2025-11-19 15:39:00,2026-09-22 17:49:57,374.44s,成功,
VCU-244042,成功,2025-11-11 10:10:00,2026-09-22 17:49:57,36.0s,失败,
VCU-244366,成功,2025-11-12 15:23:27,2026-09-22 17:49:57,92.12s,失败,
VCU-244446,成功,2025-11-05 22:16:00,2026-09-22 17:49:57,328.64s,成功,
VCU-244570,成功,2025-11-25 13:20:25,2026-09-22 17:49:57,357.82s,成功,
VCU-244689,成功,2025-11-10 13:56:50,2026-09-22 17:49:57,26.08s,失败,
VCU-244712,成功,2025-11-06 17:53:29,2026-09-22 17:49:57,546.87s,成功,
VCU-244907,成功,2025-11-05 10:51:38,2026-09-22 22:43:17,959.23s,成功,
VCU-244937,成功,2025-10-29 15:17:00,2026-09-22 17:49:57,55.13s,失败,
VCU-244971,成功,2025-11-06 13:18:00,2026-09-22 17:49:57,36.82s,失败,
VCU-245000,成功,2025-10-29 10:05:44,2026-09-22 17:49:57,207.42s,成功,
VCU-245053,成功,2025-11-10 20:52:41,2026-09-22 22:26:29,174.45s,成功,
VCU-245656,成功,2025-11-07 15:34:00,2026-09-22 22:26:29,8.5s,失败,
VCU-245878,成功,2025-10-30 09:19:46,2026-09-22 22:26:29,482.24s,成功,
VCU-245928,成功,2025-10-29 18:50:42,2026-09-22 22:43:17,789.3s,成功,
VCU-246134,成功,2025-10-30 16:52:38,2026-09-22 17:49:57,106.4s,失败,
VCU-246547,成功,2025-11-19 09:09:07,2026-09-22 17:49:57,358.57s,成功,
VCU-246552,成功,2025-10-28 10:37:00,2026-09-22 17:49:57,401.28s,成功,
VCU-246665,成功,2025-12-01 14:40:17,2026-09-22 17:49:57,380.88s,成功,
VCU-246862,成功,2025-12-04 14:43:07,2026-09-22 22:43:17,28.35s,失败,
VCU-403000,成功,2025-12-29 18:19:37,2026-09-22 17:49:57,24.41s,失败,
VCU-403104,成功,2025-12-23 14:43:37,2026-09-22 17:49:57,199.65s,成功,
VCU-404503,成功,2025-09-01 12:14:00,2026-09-22 22:43:17,1029.98s,成功,
VCU-404650,成功,2025-11-20 16:45:00,2026-09-22 22:43:17,889.63s,成功,
VCU-404755,成功,2025-11-03 13:53:19,2026-09-22 22:43:17,864.73s,成功,
VCU-404934,成功,2025-10-29 15:18:56,2026-09-22 17:49:57,62.26s,失败,
VCU-405305,成功,2025-12-17 14:57:20,2026-09-22 17:49:57,387.29s,成功,
VCU-405325,成功,2025-12-22 14:56:32,2026-09-22 22:43:17,1157.6s,成功,
VCU-405443,成功,2025-11-19 15:53:01,2026-09-22 17:49:57,410.53s,成功,
VCU-405589,成功,2025-11-24 17:15:53,2026-09-22 17:49:57,327.76s,成功,
VCU-405598,成功,2025-11-20 16:59:46,2026-09-22 17:49:57,213.51s,失败,
VCU-405736,成功,2025-11-24 09:54:16,2026-09-22 17:49:57,477.07s,成功,
VCU-406030,成功,2025-11-14 02:22:50,2026-09-22 17:49:57,493.84s,成功,
VCU-406310,成功,2025-12-22 15:41:02,2026-09-22 17:49:57,154.91s,成功,
VCU-406344,成功,2025-12-23 16:34:30,2026-09-22 17:49:57,62.8s,失败,
VCU-406459,成功,2025-12-22 14:03:36,2026-09-22 17:49:57,367.18s,成功,
VCU-406808,成功,2025-11-20 14:44:00,2026-09-22 17:49:57,210.52s,失败,
VCU-406955,成功,2025-11-20 14:44:00,2026-09-22 17:49:57,134.91s,失败,
VCU-407052,成功,2025-11-25 11:09:40,2026-09-22 17:49:57,156.21s,成功,
VCU-407059,成功,2025-11-11 14:23:57,2026-09-22 17:49:57,17.36s,失败,
VCU-407132,成功,2025-11-14 15:08:00,2026-09-22 22:43:17,1122.83s,成功,
VCU-407143,成功,2025-11-14 18:04:00,2026-09-22 22:43:17,745.01s,成功,
VCU-407320,成功,2025-12-05 13:32:00,2026-09-22 17:49:57,49.71s,失败,
VCU-407988,成功,2025-12-23 12:49:53,2026-09-22 17:49:57,162.44s,失败,
VCU-408110,成功,2025-12-25 16:11:00,2026-09-22 17:49:57,199.99s,成功,
VCU-408123,成功,2025-12-25 15:05:34,2026-09-22 17:49:57,45.81s,失败,
VCU-408192,成功,2025-11-13 13:12:46,2026-09-22 17:49:57,45.56s,失败,
VCU-408246,成功,2025-12-09 18:54:00,2026-09-22 22:43:17,95.5s,失败,
VCU-409037,成功,2025-10-21 18:01:17,2026-09-22 17:49:57,42.06s,失败,
VCU-409402,成功,2025-10-28 11:59:27,2026-09-22 17:49:57,318.21s,成功,
VCU-409691,成功,2025-08-20 19:10:26,2026-09-22 22:43:17,50.5s,失败,
VCU-410245,成功,2025-12-29 14:45:56,2026-09-22 17:49:57,237.48s,成功,
VCU-410670,成功,2025-12-18 10:55:59,2026-09-22 17:49:57,93.3s,失败,
VCU-413478,成功,2025-12-30 16:43:00,2026-09-22 22:43:17,820.76s,成功,
VCU-413484,成功,2026-01-15 15:50:50,2026-09-22 17:49:57,379.98s,成功,
VCU-413606,成功,2025-12-26 14:23:10,2026-09-22 22:43:17,42.15s,失败,
VCU-413809,成功,2026-12-23 16:33:48,2026-09-22 17:49:57,252.54s,成功,
VCU-413831,成功,2025-12-25 02:27:00,2026-09-22 17:49:57,207.19s,成功,
VCU-413834,成功,2025-12-19 14:38:02,2026-09-22 17:49:57,181.37s,失败,
VCU-413868,成功,2026-12-19 13:00:55,2026-09-22 17:49:57,8.06s,失败,
VCU-414025,成功,2025-12-25 16:44:41,2026-09-22 22:43:17,53.62s,成功,
VCU-414213,成功,2025-12-30 11:33:12,2026-09-22 22:43:17,55.03s,成功,
VCU-414331,成功,2026-12-16 15:53:13,2026-09-22 17:49:57,52.66s,失败,
VCU-414351,成功,2026-01-28 14:12:11,2026-09-22 17:49:57,83.48s,失败,
VCU-414507,成功,2025-12-31 14:56:00,2026-09-22 17:49:57,608.26s,成功,
VCU-414803,成功,2025-12-18 00:01:28,2026-09-22 22:43:17,767.88s,失败,
VCU-414810,成功,2026-01-27 14:45:00,2026-09-22 16:53:38,727.16s,成功,
VCU-415155,成功,2026-01-29 19:11:14,2026-09-22 22:43:17,1449.08s,成功,
VCU-415246,成功,2026-01-26 13:44:00,2026-09-22 16:53:38,402.22s,成功,
VCU-416114,成功,2026-01-29 14:30:54,2026-09-22 22:26:29,231.31s,成功,
VCU-416199,成功,2026-01-27 13:43:00,2026-09-22 22:43:17,903.74s,成功,
VCU-416971,成功,2026-01-07 14:53:14,2026-09-22 17:49:57,274.56s,成功,
VCU-418537,成功,2026-01-12 15:12:00,2026-09-22 22:26:29,1156.55s,成功,
VCU-418575,成功,2026-01-06 20:48:11,2026-09-22 17:49:57,233.36s,成功,
VCU-419070,成功,2025-12-29 08:54:00,2026-09-22 17:49:57,186.75s,成功,
VCU-419235,成功,2026-01-07 14:47:42,2026-09-22 17:49:57,337.55s,成功,
VCU-420089,成功,2026-01-07 14:38:10,2026-09-22 17:49:57,335.96s,成功,
VCU-421150,成功,2026-01-06 15:12:19,2026-09-22 22:26:29,327.84s,成功,
VCU-421973,成功,2026-01-08 10:35:00,2026-09-22 22:43:17,923.55s,成功,
VCU-425421,成功,2026-03-05 15:53:00,2026-09-22 22:26:29,175.6s,失败,
VCU-432319,成功,2025-08-19 07:30:55,2026-09-22 22:43:17,66.42s,失败,
VCU-434881,成功,2025-08-26 10:25:00,2026-09-22 22:26:29,679.39s,成功,
VCU-435044,成功,2025-10-22 19:50:00,2026-09-22 22:26:29,365.63s,成功,
VCU-435791,成功,2025-12-06 15:44:04,2026-09-22 22:43:17,736.95s,成功,
VCU-436053,成功,2025-10-26 09:37:00,2026-09-22 22:43:17,77.43s,失败,
VCU-436193,成功,2026-02-03 09:54:38,2026-09-22 22:43:17,850.92s,成功,
VCU-436429,成功,2025-10-27 19:20:00,2026-09-22 22:43:17,78.63s,失败,
VCU-437227,成功,2025-08-27 13:41:42,2026-09-22 22:26:29,259.53s,成功,
VCU-438476,成功,2025-10-28 14:22:30,2026-09-22 22:43:17,204.42s,失败,
VCU-439613,成功,2026-03-03 10:31:45,2026-09-22 22:43:17,1160.46s,成功,
VCU-440206,成功,2025-09-30 12:32:52,2026-09-22 22:43:17,982.51s,成功,
VCU-440387,成功,2025-10-03 08:39:32,2026-09-22 22:26:29,1771.01s,失败,
VCU-441539,成功,2025-11-07 18:34:33,2026-09-22 22:43:17,107.48s,失败,
VCU-444817,成功,2026-03-13 15:29:00,2026-09-22 22:26:29,14.62s,失败,
VCU-446336,成功,2025-07-03 14:42:00,2026-09-22 16:53:38,5.83s,失败,
VCU-446741,成功,2026-03-19 09:13:49,2026-09-22 22:43:17,70.26s,成功,
VCU-466565,成功,2025-11-03 13:58:00,2026-09-22 17:49:57,16.42s,失败,
VCU-466730,成功,2025-11-20 13:51:00,2026-09-22 17:49:57,80.81s,失败,
VCU-468947,成功,2026-04-10 12:58:43,2026-09-22 22:43:17,22.86s,失败,
VCU-469778,成功,2026-04-13 12:18:51,2026-09-22 22:26:29,168.71s,成功,
VCU-470045,成功,2026-05-18 18:06:00,2026-09-22 22:26:29,61.04s,失败,
VCU-471108,成功,2026-04-16 12:45:00,2026-09-22 22:26:29,274.98s,成功,
VCU-476527,成功,2025-10-29 13:20:00,2026-09-22 17:49:57,135.03s,失败,
VCU-476796,成功,2025-11-19 16:32:40,2026-09-22 17:49:57,279.51s,成功,
VCU-478460,成功,2026-04-22 13:40:17,2026-09-22 22:43:17,82.03s,失败,
VCU-480081,成功,2026-04-30 12:26:00,2026-09-22 22:43:17,1313.64s,成功,
VCU-481910,成功,2026-04-27 16:54:17,2026-09-22 22:43:17,698.2s,成功,
VCU-482191,成功,2026-04-27 16:02:49,2026-09-22 22:43:17,169.8s,失败,
VCU-483648,成功,2026-05-06 14:31:00,2026-09-22 16:53:38,15.13s,失败,
VCU-486314,成功,2026-05-21 18:19:00,2026-09-22 22:26:29,812.94s,成功,
VCU-486569,成功,2026-05-12 14:44:50,2026-09-22 22:43:17,578.59s,成功,
VCU-486577,成功,2026-05-13 10:50:00,2026-09-22 22:26:29,3600.0s,失败,
VCU-486588,成功,2026-05-11 16:52:00,2026-09-22 22:43:17,766.85s,成功,
VCU-487174,成功,2026-05-13 13:30:00,2026-09-22 22:26:29,36.03s,成功,
VCU-487866,成功,2026-05-14 15:13:39,2026-09-22 22:26:29,724.12s,成功,
VCU-488101,成功,2026-05-14 14:29:00,2026-09-22 22:43:17,68.2s,失败,
VCU-488389,成功,2026-05-15 14:11:00,2026-09-22 16:53:38,698.86s,成功,
VCU-489102,成功,2026-05-15 18:15:29,2026-09-22 22:43:17,852.34s,成功,
VCU-490917,成功,2026-05-21 19:39:00,2026-09-22 22:43:17,1367.83s,成功,
VCU-493642,成功,2026-05-27 05:18:20,2026-09-22 22:26:29,345.14s,成功,
VCU-494975,成功,2026-06-01 07:43:31,2026-09-22 22:26:29,1318.25s,成功,
VCU-495046,成功,2026-06-01 14:51:00,2026-09-22 22:43:17,116.07s,成功,
VCU-495673,成功,2026-06-02 13:51:19,2026-09-22 22:43:17,,分析中,
VCU-497604,成功,2026-06-05 14:40:00,2026-09-22 22:43:17,995.25s,成功,
VCU-497913,成功,2026-06-05 15:32:00,2026-09-22 22:43:17,70.41s,失败,
VCU-500730,成功,2026-06-11 09:40:34,2026-09-22 22:43:17,689.47s,成功,
VCU-501344,成功,2026-06-12 16:06:00,2026-09-22 16:53:38,8.89s,失败,
VCU-503086,成功,2026-06-16 14:17:38,2026-09-22 22:43:17,62.16s,失败,
VCU-507538,成功,2026-06-25 17:00:00,2026-09-22 16:53:38,250.14s,成功,
VCU-512644,成功,2026-07-03 18:04:00,2026-09-22 22:26:29,95.2s,成功,
VCU-516416,成功,2026-07-08 10:04:00,2026-09-22 22:43:17,1633.67s,成功,
VCU-519237,成功,2026-07-13 11:53:44,2026-09-22 22:26:29,487.88s,成功,
VCU-520600,成功,2026-07-14 15:04:12,2026-09-22 16:53:38,43.08s,失败,
VCU-521899,成功,2026-07-16 16:25:57,2026-09-22 22:26:29,263.22s,成功,
VCU-526332,成功,2026-07-30 13:44:00,2026-09-22 22:26:29,694.99s,成功,
VCU-527023,成功,2026-07-31 13:15:00,2026-09-22 22:43:17,21.33s,失败,
VCU-527968,成功,2026-08-04 13:22:51,2026-09-22 17:49:57,461.67s,成功,
VCU-528193,成功,2026-08-04 14:49:00,2026-09-22 22:26:29,479.55s,成功,
VCU-528238,成功,2026-08-04 09:57:00,2026-09-22 22:43:17,1610.07s,成功,
VCU-529944,成功,2026-08-07 13:41:00,2026-09-22 22:26:29,103.57s,失败,
VCU-530213,成功,2026-08-10 11:05:00,2026-09-22 22:26:29,715.39s,成功,
VCU-530377,成功,2026-08-03 12:13:00,2026-09-22 22:43:17,108.63s,失败,
VCU-531200,成功,2026-08-12 17:18:00,2026-09-22 22:43:17,1333.25s,成功,
VCU-531269,成功,2026-08-12 14:56:00,2026-09-22 22:43:17,59.93s,失败,
VCU-531452,成功,2026-08-17 13:28:00,2026-09-22 22:43:17,434.48s,成功,
VCU-531601,成功,2026-08-13 16:19:00,2026-09-22 17:49:57,281.98s,成功,
VCU-531724,成功,2026-08-13 13:22:00,2026-09-22 17:49:57,514.23s,成功,
VCU-533790,成功,2026-08-18 13:27:00,2026-09-22 22:43:17,887.43s,成功,
VCU-534138,成功,2026-08-14 07:56:00,2026-09-22 22:43:17,230.3s,成功,
VCU-536767,成功,2026-08-25 15:31:00,2026-09-22 15:41:04,318.34s,成功,
VCU-537386,成功,2026-08-26 16:05:00,2026-09-22 17:49:57,134.3s,失败,
VCU-540051,成功,2026-09-01 14:57:00,2026-09-22 17:49:57,435.53s,成功,
VCU-541325,成功,2026-09-03 15:50:00,2026-09-22 17:49:57,418.9s,成功,
VCU-542097,成功,2026-09-04 15:27:00,2026-09-22 17:49:57,436.01s,成功,
VCU-542150,成功,2026-09-04 15:26:49,2026-09-22 17:49:57,465.32s,成功,
VCU-542403,成功,2026-09-03 13:22:00,2026-09-22 22:43:17,72.53s,失败,
VCU-542796,成功,2026-09-07 15:20:48,2026-09-22 22:26:29,41.07s,成功,
VCU-543127,成功,2026-09-07 16:04:06,2026-09-22 17:49:57,451.89s,成功,
VCU-543179,成功,2026-09-07 16:00:29,2026-09-22 17:49:57,534.49s,成功,
VCU-543523,成功,2026-09-08 13:35:18,2026-09-22 17:49:57,407.32s,成功,
VCU-543577,成功,2026-09-08 13:28:00,2026-09-22 17:49:57,305.11s,成功,
VCU-543688,成功,2026-09-08 10:17:00,2026-09-22 17:49:57,371.8s,成功,
VCU-543861,成功,2026-09-11 13:52:00,2026-09-22 17:49:57,442.21s,成功,
VCU-544130,成功,2026-09-09 10:17:00,2026-09-22 17:49:57,447.19s,成功,
VCU-544291,成功,2026-09-09 12:18:00,2026-09-22 17:49:57,458.13s,成功,
VCU-544469,成功,2026-09-14 17:32:00,2026-09-22 17:49:57,375.9s,成功,
VCU-544536,成功,2026-09-09 15:53:00,2026-09-22 17:49:57,445.98s,成功,
VCU-544557,成功,2026-09-09 10:31:00,2026-09-22 15:41:04,196.99s,成功,
VCU-544561,成功,2026-09-09 10:27:00,2026-09-22 17:49:57,386.87s,成功,
VCU-544568,成功,2026-09-09 16:40:54,2026-09-22 17:49:57,514.45s,成功,
VCU-544569,成功,2026-09-09 16:43:54,2026-09-22 17:49:57,408.15s,成功,
VCU-544726,成功,2026-09-11 18:34:00,2026-09-22 22:26:29,1108.85s,成功,
VCU-544807,成功,2026-09-10 10:03:31,2026-09-22 17:49:57,494.62s,成功,
VCU-544908,成功,2026-09-10 13:42:35,2026-09-22 17:49:57,377.62s,成功,
VCU-544944,成功,2026-09-10 14:19:55,2026-09-22 17:49:57,428.43s,成功,
VCU-545334,成功,2026-09-09 21:33:00,2026-09-22 17:49:57,474.93s,成功,
VCU-545555,成功,2026-09-11 15:17:59,2026-09-22 17:49:57,319.06s,成功,
VCU-545602,成功,2026-09-11 15:16:00,2026-09-22 17:49:57,559.23s,成功,
VCU-545653,成功,2026-09-11 15:00:00,2026-09-22 17:49:57,574.76s,成功,
VCU-545717,成功,2026-09-11 13:14:50,2026-09-22 17:49:57,23.44s,失败,
VCU-546173,成功,2026-09-12 19:23:12,2026-09-22 15:41:04,3616.95s,失败,
VCU-546210,成功,2026-09-13 09:21:24,2026-09-22 17:49:57,473.49s,成功,
VCU-546354,成功,2026-09-11 15:19:19,2026-09-22 17:49:57,573.18s,成功,
VCU-546620,成功,2026-09-14 14:57:00,2026-09-22 17:49:57,357.06s,成功,
VCU-546941,成功,2026-09-15 13:41:08,2026-09-22 17:49:57,396.78s,成功,
VCU-546955,成功,2026-09-15 13:41:34,2026-09-22 17:49:57,349.03s,成功,
VCU-546957,成功,2026-09-15 13:41:34,2026-09-22 17:49:57,361.44s,成功,
VCU-547087,成功,2026-09-15 15:31:00,2026-09-22 17:49:57,79.21s,失败,
VCU-547352,成功,2026-09-14 21:51:00,2026-09-22 17:49:57,276.38s,成功,
VCU-547686,成功,2026-09-16 15:18:00,2026-09-22 17:49:57,362.32s,成功,
VCU-547761,成功,2026-09-16 13:28:00,2026-09-22 17:49:57,201.29s,成功,
VCU-547890,成功,2026-09-16 16:02:53,2026-09-22 16:53:38,34.73s,失败,
VCU-548460,成功,2026-09-17 13:25:00,2026-09-22 17:49:57,54.07s,失败,
