jira号,执行结果,报告长度,备注,触发时间,执行时间,分析并发数,下载并发数,模型,触发来源
VCU-238844,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-10-26 17:13:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-185379,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-01-16 15:08:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-494975,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-06-01 07:43:31,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-416114,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-01-29 14:30:54,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-529944,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-08-07 13:41:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-205250,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-05-22 11:17:59,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-207326,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-06-18 05:20:31,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-201068,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-04-01 19:49:48,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-208182,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-06-03 17:10:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-469778,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-04-13 12:18:51,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-486577,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-13 10:50:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-544726,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-09-11 18:34:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-444817,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-03-13 15:29:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-418537,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-01-12 15:12:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-229460,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-08-11 21:15:32,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-117701,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2023-10-25 10:21:13,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-440387,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-10-03 08:39:32,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-221439,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-07-16 19:19:02,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-437227,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-08-27 13:41:42,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-521899,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-07-16 16:25:57,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-519237,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-07-13 11:53:44,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-542796,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-09-07 15:20:48,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-470045,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-18 18:06:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-245656,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-11-07 15:34:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-200111,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-04-01 19:32:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-209680,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-06-12 18:02:27,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
