jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-541325,成功,2026-09-03 16:21:51,2026-09-14 14:58:53,2579.4s,失败,
VCU-541369,成功,2026-09-03 16:57:58,2026-09-14 17:53:59,3600.37s,失败,
VCU-541381,成功,2026-09-03 17:04:51,2026-09-14 17:53:59,3600.06s,失败,
VCU-541455,成功,2026-09-03 17:44:47,2026-09-14 14:58:53,249.71s,失败,
VCU-541458,成功,2026-09-03 17:47:39,2026-09-14 17:53:59,58.03s,失败,
VCU-541465,成功,2026-09-03 17:51:51,2026-09-14 14:58:53,3281.08s,失败,
VCU-541531,成功,2026-09-03 10:08:00,2026-09-14 09:50:10,72.88s,成功,
VCU-541582,成功,2026-09-04 09:30:00,2026-09-14 09:50:10,110.58s,成功,
VCU-541596,成功,2026-09-04 10:15:06,2026-09-14 14:58:53,237.65s,失败,
VCU-541927,成功,2026-09-04 14:45:38,2026-09-14 14:58:53,392.7s,失败,
VCU-542048,成功,2026-09-04 16:21:02,2026-09-14 17:53:59,1865.14s,失败,
VCU-542097,成功,2026-09-04 16:49:24,2026-09-14 17:53:59,2718.45s,失败,
VCU-542139,成功,2026-09-04 17:10:24,2026-09-14 14:58:53,2528.58s,失败,
VCU-542150,成功,2026-09-04 15:26:49,2026-09-14 09:55:12,3606.08s,失败,
VCU-543242,成功,2026-09-07 18:10:41,2026-09-14 17:53:59,3600.38s,失败,
VCU-543406,成功,2026-09-08 10:52:38,2026-09-14 17:53:59,3600.12s,失败,
VCU-543449,成功,2026-09-08 10:52:19,2026-09-14 09:55:12,1475.15s,成功,
VCU-543577,成功,2026-09-08 14:36:33,2026-09-14 17:53:59,3593.97s,失败,
VCU-543799,成功,2026-09-08 17:13:20,2026-09-14 14:58:53,3600.15s,失败,
VCU-544156,成功,2026-09-09 13:31:55,2026-09-14 14:58:53,3600.23s,失败,
VCU-544165,成功,2026-09-09 13:48:33,2026-09-14 17:53:59,3600.24s,失败,
VCU-544203,成功,2026-09-09 14:17:10,2026-09-14 17:53:59,2586.42s,失败,
VCU-544244,成功,2026-09-09 14:59:02,2026-09-14 17:53:59,3600.23s,失败,
VCU-544267,成功,2026-09-09 15:22:24,2026-09-14 14:58:53,270.63s,失败,
VCU-544566,成功,2026-09-09 18:14:25,2026-09-14 17:53:59,3600.29s,失败,
VCU-544723,成功,2026-09-10 09:22:59,2026-09-14 17:53:59,3600.08s,失败,
VCU-544860,成功,2026-09-10 11:39:18,2026-09-14 17:53:59,3600.07s,失败,
VCU-545334,成功,2026-09-11 09:31:48,2026-09-14 17:53:59,2570.87s,失败,
VCU-545386,成功,2026-09-11 10:33:05,2026-09-14 17:53:59,3599.96s,失败,
VCU-545655,成功,2026-09-11 16:43:32,2026-09-14 17:53:59,3600.2s,失败,
VCU-545813,成功,2026-09-11 17:34:04,2026-09-14 14:58:53,342.88s,失败,
VCU-546173,成功,2026-09-12 19:23:12,2026-09-14 12:33:24,3600.95s,失败,
