jira号,rootcause,AI评论总结,结果置信度,达标,原因
VCU-226779,刷新token时提示try catch,根因：状态上报逻辑与CAN信号校验缺失 [详情: D:\program16\docs\2026-08-28\VCU-226779_comments.md],0.7,是,
VCU-229303,EnergyService和PropulsionService订阅了相同的监听，导致EnergyService订阅成功后，PropulsionService无法进行订阅,根因：版本或环境特异性偶发故障 [详情: D:\program16\docs\2026-08-28\VCU-229303_comments.md],0.704,是,
VCU-232459,因为波谷请求无reponse,根因：VCU主动切换充电模式与下发指令冲 [详情: D:\program16\docs\2026-08-28\VCU-232459_comments.md],0.534,否,置信度0.534<0.7，语义相似度0.35<0.7
VCU-233034,按照当前需求，远控下发请求成功后，在超时时间内仅判断mode_recall_status： MR_RECALL_SUCCESS：返回成功 MR_RECALL_UNSUCCESS_INTERRUPT：返回失败，2B009 MR_RECALL_UNSUCCESS_ERROOR：返回失败，2B011 由于上报的recall status一直是MR_TARGET_POSITION_ALREADY，<b>所,根因：业务逻辑对非错误码误判导致超时 [详情: D:\program16\docs\2026-08-28\VCU-233034_comments.md],0.499,否,置信度0.499<0.7，语义相似度0.2<0.7
VCU-243308,mount时候user10未绑定上，导致未上报给APP。异常时候，也未做reset操作。,根因：blkid命令执行超时 [详情: D:\program16\docs\2026-08-28\VCU-243308_comments.md],0.95,是,
VCU-243551,功能遗漏,VCU旧版本车窗控制逻辑缺陷 [详情: D:\program16\docs\2026-08-28\VCU-243551_comments.md],0.86,是,
VCU-243971,同1210699,根因：jar包版本与接口信号定义不匹配 [详情: D:\program16\docs\2026-08-28\VCU-243971_comments.md],0.0,是,
VCU-244354,VCU使用了真实SOC作为低电量依据，实际应该使用表显SOC值 远控服务目前使用的信号为，High Voltage Battery State of Charge : Battery State of Charge 按照comment7描述，需要修改为，Customer Usable State of Charge 这个是表显的总线信号,根因：SOC数据源引用错误，误用真实SO [详情: D:\program16\docs\2026-08-28\VCU-244354_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.0<0.7
VCU-403083,远控冷启动延时较短，coreservice服务还没有启动完成。,根因：SOME/IP服务瞬时不可用致轮询 [详情: D:\program16\docs\2026-08-28\VCU-403083_comments.md],0.504,否,置信度0.504<0.7，语义相似度0.35<0.7
VCU-405621,启动时 someip 初始化逻辑错误依赖servicebus的状态,根因：VCU未订阅报文致数据缺失 [详情: D:\program16\docs\2026-08-28\VCU-405621_comments.md],0.622,否,置信度0.622<0.7，语义相似度0.35<0.7
VCU-413869,TTS错误,根因：远光灯语音指令未实现TTS播报功能 [详情: D:\program16\docs\2026-08-28\VCU-413869_comments.md],0.93,是,
VCU-416364,重复问题，跟踪1239577 即可,根因：前端未定义高度解析且座椅调节不支持 [详情: D:\program16\docs\2026-08-28\VCU-416364_comments.md],0.897,是,
VCU-416584,当前设计如此（Critical）,根因：日志时间线分析偏差 [详情: D:\program16\docs\2026-08-28\VCU-416584_comments.md],0.878,是,
VCU-416926,问题重复，跟踪1240096即可 by曹达,NLU槽位映射缺陷，未对“行李舱”做泛化 [详情: D:\program16\docs\2026-08-28\VCU-416926_comments.md],0.524,否,置信度0.524<0.7，语义相似度0.35<0.7
VCU-416987,思必驰的协议字段参数增加了具体的数值,协议格式不统一导致执行层未响应 [详情: D:\program16\docs\2026-08-28\VCU-416987_comments.md],0.664,否,置信度0.664<0.7，语义相似度0.2<0.7
VCU-417623,进入XX模式和退出XX模式，都会移动座椅，目前语音的交互设计都会引导二次确认,根因：零重力退出误判需二次确认，且TTS [详情: D:\program16\docs\2026-08-28\VCU-417623_comments.md],0.891,是,
VCU-418572,代码问题,根因：VRDM逻辑缺陷 [详情: D:\program16\docs\2026-08-28\VCU-418572_comments.md],0.925,是,
VCU-418592,档位逻辑设置错误。,NLU解析未传递强度字段，语音serve [详情: D:\program16\docs\2026-08-28\VCU-418592_comments.md],0.932,是,
VCU-418802,代码逻辑问题·,VRDM逻辑缺陷导致温度指令执行异常 [详情: D:\program16\docs\2026-08-28\VCU-418802_comments.md],0.533,是,
VCU-418896,na,根因：标定未配置充电功能致语义解析失败 [详情: D:\program16\docs\2026-08-28\VCU-418896_comments.md],0.857,是,
VCU-419394,语义问题,根因：协议表语义字段空白导致空指针异常 [详情: D:\program16\docs\2026-08-28\VCU-419394_comments.md],0.888,是,
VCU-419506,重复bug - 1239908,根因：VRDM的TTS回复链路异常 [详情: D:\program16\docs\2026-08-28\VCU-419506_comments.md],0.85,是,
VCU-419833,预期结果不对,UE设计如此，测试预期需调整 [详情: D:\program16\docs\2026-08-28\VCU-419833_comments.md],0.529,否,置信度0.529<0.7，语义相似度0.15<0.7
VCU-420205,二排有乘客不能开副驾零重力,根因：二排占位时MSM误判VIP启动条件 [详情: D:\program16\docs\2026-08-28\VCU-420205_comments.md],0.925,是,
VCU-421511,跟踪1237895 重复单,NLU语义解析异常 [详情: D:\program16\docs\2026-08-28\VCU-421511_comments.md],0.934,是,
VCU-421598,语义问题,根因：语义映射逻辑缺陷 [详情: D:\program16\docs\2026-08-28\VCU-421598_comments.md],0.905,是,
VCU-421804,如最新评论,根因：跨进程回调结果未同步 [详情: D:\program16\docs\2026-08-28\VCU-421804_comments.md],0.871,是,
VCU-431772,,,,否,Jira根因分析内容为空
VCU-436082,,,,否,Jira根因分析内容为空
VCU-480105,车窗的状态高频上报可能引起coreservice时序出错上报,根因：远控车窗命令执行链路中断 [详情: D:\program16\docs\2026-08-28\VCU-480105_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.0<0.7
VCU-486086,"Settings 的""尾门开启角度""overlay 对话框在 16:48:23 请求进入了 DM 模式，但关闭时没有退出 DM 模式，导致后续 Launcher 上旋转变成滚动。",根因：DM模式因无焦点节点未及时释放 [详情: D:\program16\docs\2026-08-28\VCU-486086_comments.md],0.628,是,
VCU-491630,远控遮阳帘不上线，关闭此问题。,根因：BDF已知缺陷，功能不支持 [详情: D:\program16\docs\2026-08-28\VCU-491630_comments.md],0.863,是,
VCU-504235,新模型未从主线合入到R6,根因：高压上电流程异常 [详情: D:\program16\docs\2026-08-28\VCU-504235_comments.md],0.883,是,
VCU-514916,网络模块发送7539时MCU处于休眠状态，未接收到,根因：VCU休眠期间网络断开，唤醒后链路 [详情: D:\program16\docs\2026-08-28\VCU-514916_comments.md],0.956,是,
VCU-523014,mqttmp 探测器服务pod内部网络异常，已修复，请重新测试，谢谢,根因：MQTTMP服务Pod损坏 [详情: D:\program16\docs\2026-08-28\VCU-523014_comments.md],0.774,是,
VCU-525874,车型PM给的车能力错误,根因：无电动出风口配置，请求不响应 [详情: D:\program16\docs\2026-08-28\VCU-525874_comments.md],0.0,否,置信度0.0<0.7，语义相似度0.0<0.7
VCU-53182,root cause:当前软件持续无法复现该问题，原Log不足，无法分析，所以需要走不复现流程 solution：请验证同时测试三个版本 验证版本：PATAC=458_163_ppv3-20220508-RQB23C-79;验证20次未复现问题，继续观察 验证版本：PATAC= 458_R2_NS1-20220528-RQB23C-6; 台架验证10次 未复现问题 验证版本：PATAC= 458_,根因：QNX层音量组切换异常 [详情: D:\program16\docs\2026-08-28\VCU-53182_comments.md],0.534,是,
VCU-536319,,,,否,Jira根因分析内容为空
VCU-537074,版本打包问题,根因：空指针导致能力检查崩溃 [详情: D:\program16\docs\2026-08-28\VCU-537074_comments.md],0.711,是,
VCU-537348,REASON_PM_NON_OFF 错误状态没有映射到ConstantConnectUnavailableReason,根因：VCU通知上报链路异常 [详情: D:\program16\docs\2026-08-28\VCU-537348_comments.md],0.906,是,
VCU-537367,"{noformat} Precondition 唤醒车机；车机启动正常 Operation 1、导出安卓gmlogger日志 2、执行 Android Selinux 脚本扫描lgmlogger日志 Observation 测试结果中存有进程权限问题 Filed against to PATAC, 7 Logs for Source Context u:r:system_app:s0: ['loc",根因：SELinux策略拒绝gmlogg [详情: D:\program16\docs\2026-08-28\VCU-537367_comments.md],0.554,否,置信度0.554<0.7，语义相似度0.645<0.7
VCU-537386,【直接原因】在特定车辆配置变更的场景下，系统未能正确调用车标位置更新方法，导致车标位置显示异常。 【根本原因】需求文档中未明确指出在车辆配置变更时需要更新车标位置，导致开发人员在实现功能时忽略了这一逻辑，最终在代码中缺少了调用相关方法的处理。,分屏宽度归一化缺失导致坐标异常 [详情: D:\program16\docs\2026-08-28\VCU-537386_comments.md],0.538,是,
VCU-537460,,,,否,Jira根因分析内容为空
VCU-537757,云端服务实例某个节点重启时 遭遇数据库连接超时 加载配置信息失败， 导致 c2d 消息下发 探测设备在线永远失败，一定触发离线短信唤醒,根因：CommProxy车云连接不可用 [详情: D:\program16\docs\2026-08-28\VCU-537757_comments.md],0.636,是,
VCU-72609,asm bin 集成有问题，另外VIP通知cluster绘制Sigicon的消息需要从ODI切换为SafeODI channel,根因：VCU软件配置或标定参数错误 [详情: D:\program16\docs\2026-08-28\VCU-72609_comments.md],0.609,是,
VCU-77711,非VCU问题，info4关闭,根因：Android与仪表CAN信号ID [详情: D:\program16\docs\2026-08-28\VCU-77711_comments.md],0.9,是,
VCU-86824,无法复现，有问题重开bug跟踪,控件类型注册错误，接口契约不匹配 [详情: D:\program16\docs\2026-08-28\VCU-86824_comments.md],0.525,否,置信度0.525<0.7，语义相似度0.15<0.7
